,episode,team_points,opponent_points,win,total_wins,win_rate,reward,avg_reward,policy_loss,value_loss,total_loss,rewards
159,160,12323.0,12797.0,0,50,31.25,,0.012985803016858921,-0.1909937560558319,0.07550765573978424,-0.019989222288131714,29.270000000000007
160,161,12423.0,12854.0,0,50,31.05590062111801,,0.012985803016858921,-0.1774519979953766,0.018998190760612488,-0.0697278082370758,29.270000000000007
161,162,12501.0,12933.0,0,50,30.864197530864196,,0.012985803016858921,-0.0886613056063652,0.0077369194477796555,-0.036593735218048096,29.270000000000007
162,163,12564.0,13027.0,0,50,30.67484662576687,,0.012985803016858921,-0.03139563649892807,0.008787865750491619,-0.006909952498972416,29.270000000000007
163,164,12614.0,13134.0,0,50,30.48780487804878,,0.012985803016858921,-0.11563515663146973,0.017678122967481613,-0.04013945534825325,29.270000000000007
164,165,12669.0,13236.0,0,50,30.303030303030305,,0.012985803016858921,-0.16652566194534302,0.014897024258971214,-0.06836580485105515,29.270000000000007
165,166,12717.0,13345.0,0,50,30.120481927710845,,0.012985803016858921,-0.09090225398540497,0.02646002732217312,-0.018991099670529366,29.270000000000007
166,167,12746.0,13473.0,0,50,29.94011976047904,,0.012985803016858921,-0.06399891525506973,0.018037788569927216,-0.01396166905760765,29.270000000000007
167,168,12871.0,13505.0,0,50,29.761904761904763,,0.012985803016858921,-0.17890344560146332,0.015157794579863548,-0.07429392635822296,29.270000000000007
168,169,12913.0,13620.0,0,50,29.585798816568047,,0.012985803016858921,-0.13301067054271698,0.010133023373782635,-0.05637231096625328,29.270000000000007
169,170,13004.0,13686.0,0,50,29.411764705882355,,0.012985803016858921,-0.06919777393341064,0.008671727031469345,-0.025927159935235977,29.270000000000007
170,171,13110.0,13737.0,0,50,29.239766081871345,,0.012985803016858921,-0.12232590466737747,0.007414397783577442,-0.05374855548143387,29.270000000000007
171,172,13205.0,13799.0,0,50,29.069767441860467,,0.012985803016858921,-0.17315639555454254,0.01927383430302143,-0.06730436533689499,29.270000000000007
172,173,13258.0,13903.0,0,50,28.901734104046245,,0.012985803016858921,-0.1828647404909134,0.03896090388298035,-0.05247146636247635,29.270000000000007
173,174,13273.0,14045.0,0,50,28.735632183908045,,0.012985803016858921,-0.18155406415462494,0.027432028204202652,-0.06334500014781952,29.270000000000007
174,175,13338.0,14137.0,0,50,28.57142857142857,,0.012985803016858921,-0.15323233604431152,0.012021146714687347,-0.06459502130746841,29.270000000000007
175,176,13415.0,14217.0,0,50,28.40909090909091,,0.012985803016858921,-0.11867678910493851,0.011319927871227264,-0.04801846668124199,29.270000000000007
176,177,13453.0,14336.0,0,50,28.24858757062147,,0.012985803016858921,-0.1863071471452713,0.0671689510345459,-0.025984622538089752,29.270000000000007
177,178,13542.0,14404.0,0,50,28.08988764044944,,0.012985803016858921,-0.21833154559135437,0.007524106651544571,-0.10164166986942291,29.270000000000007
178,179,13566.0,14537.0,0,50,27.932960893854748,,0.012985803016858921,-6.785252480767667e-05,0.009473612532019615,0.009439686313271523,29.270000000000007
179,180,13634.0,14626.0,0,50,27.77777777777778,,0.012985803016858921,-0.23049531877040863,0.004780777730047703,-0.11046688258647919,29.270000000000007
180,181,13700.0,14717.0,0,50,27.624309392265197,,0.012985803016858921,-0.12522096931934357,0.01611224375665188,-0.046498239040374756,29.270000000000007
181,182,13748.0,14826.0,0,50,27.472527472527474,,0.012985803016858921,-0.164800763130188,0.0427749827504158,-0.03962539881467819,29.270000000000007
182,183,13804.0,14927.0,0,50,27.322404371584703,,0.012985803016858921,-0.12354497611522675,0.005515738856047392,-0.056256748735904694,29.270000000000007
183,184,13856.0,15032.0,0,50,27.173913043478258,,0.012985803016858921,-0.18346820771694183,0.003880921518430114,-0.08785318583250046,29.270000000000007
184,185,13992.0,15053.0,0,50,27.027027027027028,,0.012985803016858921,-0.15124128758907318,0.01363189797848463,-0.061988744884729385,29.270000000000007
185,186,14027.0,15175.0,0,50,26.881720430107524,,0.012985803016858921,-0.1833866834640503,0.014832311309874058,-0.07686103135347366,29.270000000000007
